"Ilan_id","SirketAdi","Sektor","Konum","Aciklama","Pozisyon","Deneyim","Egitim","CalismaSekli","Sifre"
"339","KOÇTAŞ YAPI MARKETLERİ TİC.A.Ş.","Yapı Market","İstanbul ","_x000D_
_x000D_
En az lise mezunu _x000D_
Tercihen perakende sektöründe satış, kasa ya da mal kabul alanında en az 1 yıl deneyimli_x000D_
_x000D_
MS Office uygulamalarına hakim_x000D_
_x000D_
Müşteri memnuniyetini ön planda tutan_x000D_
_x000D_
Vardiyalı ve haftasonu çalışmaya sıcak bakan_x000D_
_x000D_
_x000D_
_x000D_
İŞ TANIMI_x000D_
Koçtaş Koç Holding ile ev geliştirme perakendeciliği konusunda Avrupa'nın lider kuruluşu olan Kingfisher/B ve Q ortaklığıdır. Dünya standartlarında perakendecilik uygulamalarıyla hızlı büyümeyi hedefleyen Koçtaş,Beylikdüzü Beykent'te açılacak olan Koçtaş Fix Mağazası için ""MÜŞTERİ DANIŞMANLARI"" aramaktadır._x000D_
 _x000D_
* İşe alım ve istihdamda tek ölçü olarak işe uygunluk vasfı aranır; ayrımcılık yapmadan fırsat eşitliği sağlanır._x000D_
","MÜŞTERİ DANIŞMANLARI ","En çok 10 yıl tecrübeli","Lise ","Tam Zamanlı","1234"
"340","Air Clinic Sağlık Hizmetleri San. Ve Tic. A.Ş.","Sağlık","İstanbul    ","_x000D_
_x000D_
_x000D_
Türk Hava Yolları’nın hasta, yaşlı ve engelli yolcularına tekerlekli sandalye hizmeti vermekte olan firmamızın, anlaşmalı olduğu İstanbul-Atatürk Havalimanı, İstanbul Havalimanı, İstanbul-Sabiha Gökçen Havalimanı, Ankara-Esenboğa, İzmir-Adnan Menderes, Antalya, Adana, Milas-Bodrum ve Dalaman Havalimanında görevlendirilmek üzere “Taşıma Hizmetleri Görevlileri” aranmaktadır;_x000D_
_x000D_
_x000D_
En az lise mezunu,_x000D_
_x000D_
Dış görünümüne önem veren ve güler yüzlü,_x000D_
_x000D_
Ekip çalışmasına yatkın,_x000D_
_x000D_
Sorumluluk sahibi,_x000D_
_x000D_
Uzun süre ayakta aktif olarak çalışabilecek,_x000D_
_x000D_
Yolcu ve yolcu yakını memnuniyetine önem veren,_x000D_
_x000D_
Vardiyalı çalışma düzenine uyum sağlayabilecek,_x000D_
_x000D_
Erkek adaylar için askerlikle ilişiği bulunmayan._x000D_
_x000D_
B Sınıfı ve/veya üstü ehliyeti olan adaylar tercih edilecektir._x000D_
_x000D_
İŞ TANIMI_x000D_
_x000D_
Liman girişinden-uçağa, uçaktan-liman çıkışına ya da uçaktan-uçağa; akülü araç, manuel tekerlekli sandalye, ara sandalye ve sedye ile yolcu taşınması._x000D_
","Hasta Taşıma Görevlisi","Tecrübesiz","Lise ","Tam Zamanlı","1234"
"341","Aya Validasyon Ambalaj Sterilizasyon A.Ş.","Sağlık","Ankara","_x000D_
AYA Validasyon Ambalaj Sterilizasyon A.Ş. _x000D_
_x000D_
AYA A.Ş., İlaç ve Tıbbi Cihaz Üreticilerine, Hastanelere Validasyon, Kalifikasyon, Laboratuvar Analizleri, Paketleme ve Sterilizasyon Hizmetleri veren, ISO 13485 Belgesi ve TS EN ISO 17020 Akreditasyonuna sahip A Tipi Muayene Kuruluşudur._x000D_
_x000D_
_x000D_
Takımımızda yer alacak, _x000D_
_x000D_
Kalite Sistem Yöneticisi/Genel Nitelikler _x000D_
_x000D_
•  Lisans Mezunu, _x000D_
_x000D_
• ISO 13485, ISO 17020, ISO 17025 Kalite Yönetim Sistemlerinden en az birinde 2 yıl tecrübeli,_x000D_
_x000D_
_x000D_
• Yabancı Dil: İngilizce _x000D_
_x000D_
• MS Office Programlarına hakim, _x000D_
_x000D_
• Erkek adaylar için Askerlik Görevini tamamlamış, _x000D_
_x000D_
• Öğrenmeye, kendisini geliştirmeye ve bilgi paylaşımına açık bir yapıya sahip,_x000D_
_x000D_
_x000D_
• Analitik düşünebilen, çözüm üreten ve sonuç odaklı, _x000D_
_x000D_
• Yoğun iş temposuna ayak uydurabilecek, _x000D_
_x000D_
• Detaylara önem veren, dikkatli, sistemli ve prensip sahibi, _x000D_
_x000D_
• Takım çalışmasına yatkın, _x000D_
_x000D_
• Tercihen Ölçüm Belirsizliği, Metot Validasyonu konusunda bilgi sahibi, _x000D_
_x000D_
• Düzenli çalışmalar yürütme, zaman yönetimi ve etkin raporlama becerisine sahip_x000D_
_x000D_
_x000D_
• Mesleki etik ve disipline sahip Takım Arkadaşları arıyoruz. _x000D_
_x000D_
İş Tanımı _x000D_
_x000D_
ISO 13485, ISO 17020 ve ISO 17025 Kalite Yönetim Sistemlerinin etkinliğinin ve devamlılığının sağlanması konusunda gerekli her türlü işi yapabilme, sorumluluk alabilme ve yetkinlik._x000D_
_x000D_
","Kalite Sistem Yöneticisi ve Yönetmeni","Tecrübeli ve Tecrübesiz"," Lisans ","Tam Zamanlı","1234"
"342","Air Clinic Sağlık Hizmetleri San. Ve Tic. A.Ş.","Sağlık","İstanbul ","Türk Hava Yolları’nın engelli, yaşlı ve hasta yolcularına tekerlekli sandalye hizmeti vermekte olan firmamıza, Genel Müdürlüğe bağlı olarak İstanbul Havalimanı’nda görevlendirilmek üzere “İnsan Kaynakları Eğitim Uzmanı” aranmaktadır; Lisanslerin ilgili bölümlerinden mezun,Eğitim koordine etme, planlama, eğitim verme konularında en az 3 yıl deneyimli,Sunum, planlama ve organizasyon becerileri gelişmiş,MS Office programlarını çok iyi kullanan,İnsan ilişkilerinde başarılı, etkili iletişim becerisine sahip,Raporlama ve analiz becerilerine sahip,Araştırma ve geliştirme odaklı,Tercihen iyi derecede İngilizce bilen,Eğiticinin eğitimi, sunum teknikleri gibi alanı ile ilgili sertifikalı eğitimleri almış,Her düzey çalışana şirket içi eğitmen olarak aktif eğitim verebilecek,·Seyahat engeli olmayan,İŞ TANIMIKurum hedef ve değerleri doğrultusunda  yıl Eğitim Planını oluşturmak,Eğitimlerin tam ve doğru tespiti için eğitim ihtiyaç analizleri yapmak,Eğitim firmaları ile görüşmek,İşe yeni başlayan personelin ilgili birimlerle uyum eğitimlerini koordine etmek,Oryantasyon eğitimleri gibi bazı eğitimlerin iç eğitmenliğinin üstlenilmesi,İç eğitimci sürecini oluşturup gelişimini sağlamak,Eğitimlerin içeriklerini, modüllerini ve materyallerini hazırlamak,Eğitim organizasyonları oluşturarak takibini yapmak,Eğitimlerin ölçme ve değerlendirilmesi, aylık, senelik raporlar ve analizlerin yapılması ve gerekli kayıtların tutulması,","Eğitim Uzmanı","Tecrübeli ve Tecrübesiz","Lise ","Tam Zamanlı","1234"
"343","Güven Kaplan","Satış Elemanı","İstanbul ","İstanbul'daki işimizi genişletmek için şunları arıyoruz: 

Mali Müşavir (e/k) 

Office 12'de bir kariyer, dinamik olarak genç bir şirkette yeni bir meydan okuma arayan başvuru sahiplerine yöneliktir. 

Halihazırda finans sektöründe çalışıyor olmanız ve müşteri danışmanı olarak şimdiden biraz deneyim kazanmış olmanız avantajlıdır. 

Amacınız kendinizi geliştirmek ve aynı zamanda bütüne katkıda bulunmaksa, o zaman doğru yere geldiniz. 

Office 12 müşterilerinin kalite ve performans konusunda çok yüksek talepleri vardır, bu nedenle çalışanlarımızın bu talepleri yansıtması önemlidir. 

Bunu sağlamak için Office 12, gelecekteki çalışanlarına gelişim fırsatları sunar. 

Bir finansal danışman olarak esnek bir çalışma modelinden yararlanırsınız. Genç, dinamik bir ekipte tüm ürünler hakkında profesyonel bir eğitim alacaksınız. 

Kusursuz Almanca bu iş için bir zorunluluktur. 

Gereksinimlerimiz:

Bağımsız ve hedef odaklı çalışma şekli 

Kendini eğitmek için sevinç ve isteklilik 

Güçlü iletişim becerileri ve müzakere becerileri 

Girişkenlik 

Bakımlı, kendine güvenen ve açık görünüm 

Yüksek esneklik, bağlılık ve performans odaklı çalışma yöntemleri 

Arkadaş canlısı, iletişimsel ve motive olmuş bir kişi 

İkametgah: İstanbul 

Size sunuyoruz: 

Motive edici bir ortamda geniş ekip bilgisi

Sağlam temel eğitim ve koçluk 

Kapsamlı, müşteri odaklı hizmet yelpazesi 

Serbest meslek 

Ortalamanın üzerinde gelir beklentileri 

Eşsiz kariyer ve ilerleme fırsatları.

Kadınlar ve erkekler için eşit ücret. 

İlk 2 ay için sabit ücret olan 3000 TL, daha sonra sadece komisyon üzerinden. 

Yeni bir meydan okuma arayan kariyer değiştirenlere kapımız açık. 

Yukarıdaki noktalarla da özdeşleşebiliyorsanız, daha fazla bilgi için bizimle iletişime geçmekten çekinmeyin. 

Ilgi? Ardından başvuru belgelerinizi (tercihen elektronik) almak için sabırsızlanıyoruz.","Almanca Bilen Satış Elemanı","Tecrübeli ve Tecrübesiz","Lise ","Tam Zamanlı","1234"
"344","TS Otomasyon Bilişim Elektrik San ve Tic.Ltd. Şti.","Otomasyon","İstanbul ","_x000D_
Yurtiçi ve yurtdışı projelerimizde görevlendirmek üzere Üniversitelerin Elektrik, Elektronik, Bilgisayar vb. Mühendislik bölümlerinden mezun, SCADA, RTU ve PLC sistemleri konularında tecrübeli, Enerji Otomasyonu sektöründe otomasyon mühendisi olarak çalışacak takım arkadaşları aramaktayız._x000D_
Adaylarda aranan temel özellikler :_x000D_
İngilizce diline yazma ve konuşma olarak hakim olan,_x000D_
_x000D_
Yurt içi ve Yurt dışı seyahat engeli olmayan, _x000D_
Saha tecrübesi bulunan, _x000D_
Askerlik görevini tamamlamış, _x000D_
B sınıfı ehliyet sahibi, Aktif araç kullanabilen,_x000D_
_x000D_
","SCADA  ve  RTU Mühendisi","2 - 15 yıl arası","Önlisans ","Tam Zamanlı","1234"
"345","Akpa Kimya Ambalaj San. ve Tic. A.Ş.","Kimya","İstanbul ","
Ürettiği kimyevi ürünlerin Yurt içi ve Yurt dışı pazarlara satışını gerçekleştiren güçlü ve dinamik bir firma olarak, şirketimizin ihracat faaliyetlerinde görev almak üzere donanımlı, dinamik, alanıyla ilgili bilgilerini geliştirmiş ve pratik uygulamalara hâkim  ""İhracat Müşteri Hizmetleri Temsilcisi"" arayışımız bulunmaktadır.
(Çalışma yeri: Yenibosna-Bahçelievler-İstanbul)



Tercihen  Lisanslerin Kimya Mühendisliği veya Fen-Edebiyat Fakültelerinin Kimya Bölümlerinden Mezun,Firmaların ihracat bölümlerinde en az 2 yıl görev almış,İngilizce'nin yanı sıra İspanyolca diline de tam yetkinlikle hakim olan,
Analitik düşünce yapısına ve problem çözme becerisine sahip,
Dış ticaret mevzuatı, lojistik faaliyetler ve operasyonel süreçlere hakkında bilgi sahibi,
Dış ticarete dönük ödeme, ürün teslim vs. aşamalara vakıf, Uluslararası fuarlarda bulunmuş,İnsan ilişkileri kuvvetli ve etkin iletişimin gerektirdiği inceliklere hakim, 
Takipçi, iç motivasyonu yüksek, MS Ofis Programlarını iyi seviyede kullanabilen, 


İŞ TANIMI:
Sektöründe ve ürettiği ürünlerin çeşitliliği ve özelliği itibariyle yüksek bir potansiyele sahip olan şirketimizde İhracat Departmanı bünyesinde çalışır ve aşağıda yazılı işleri yapması beklenir;
1. Şirketin temel işletme politikalarına, dış ticaret, müşteri ilişkilerine, satış ve pazarlama stratejilerine, genel kural ve prensiplerine uygun olarak hareket eder. 
2. İhracat Bölge Müdürlerine, İhracat Müdürü'ne; müşteri ilişkileri, satış, sipariş, üretim takip, sevkıyat vb. faaliyetlerle ilgili etkin bir asistan desteği sağlar. 
3. İhracat faaliyetlerine ilişkin firma içi raporları hazırlamada etkin ve yetkin bir işleyiş içerisinde olur, istatistiki verilere ve ihracat faaliyetlerine ilişkin gerekli raporları istendiğinde kısa sürede hazırlar ve ilgili yöneticilere sunar. 
4. Tüm yurt dışı müşterilerin dosyalarını, broşürlerini, teknik ve kalite bilgilerini güncel tutar. 
5. Lojistik birimi ile sürekli koordineli olur ve sıkı bir işbirliği içerisinde bulunur. 
6. Müşterilerden gelen talepler için, İhracat Bölge Müdürleriyle koordinede bulunur ve onların vereceği talimatlar doğrultusunda fiyat tekliflerini oluşturarak müşterilere iletir, satış sözleşmelerini usulüne uygun olarak hazırlar ve yetkililerin onayına sunar. 
7. İhracat Bölge Müdürlerinin yurt dışı iş seyahatlerinde veya ofis dışında olduğu zamanlarda, müşterilere gerekli desteği verir, gerekli durumlarda müşterilerle İhracat Bölge Md.lerinin kontak kurmasını temin eder. 
8. Her türlü ticari evrak ve dokümanların dış ticaretin esas ve usullerine, yurt dışı ve yurt içi mevzuatlara ve prosedürlere göre eksiksiz ve hatasız olarak hazırlanmasından ve birebir takibini yapmaktan sorumludur. 
9. İhracat faaliyetleri kapsamında, şirket içi düzenlenmesi gereken ve şirkete özel evrak, bilgi ve belgelerin düzenlenmesini yapar ve süreçlerin takip eder. 
11. Sipariş kayıtlarının açılmasından itibaren yürütülen ticari faaliyetlerin tamamını izler, kontrol eder ve gözetir, ödemeleri takip eder, müşteri tarafından taahhüt edilen zamanda veya anlaşma ve sözleşmelere göre belirlenen tarihlerde ödemelerin şirket hesaplarına geçmesini sağlayacak çalışmalar yapar. 
12. Sipariş terminlerini takip eder, müşteriye taahhüt edilen termin uygun olarak yüklemelerin eksiksiz ve zamanında yapılması için üretim, lojistik ve şirketin ilgili tüm birimleriyle sürekli koordine halinde olur, destek vermesi gereken hallerde devreye girer, sipariş aşamasından ürünün müşteriye teslim aşamasına kadarki tüm süreçlerin takibini yapar, gerekli kayıtları güncel halde tutar. 
13. Müşterilerden gelen numune ürün taleplerine istinaden, AR-GE Bölümü ile koordine ederek, numunelerin uygun kaplarda ve gerekli yasal esaslara uygun olarak müşterilere gönderilmesini/kargolanmasını sağlar. 
14. Yurtdışı fuar organizasyonları kapsamında kendisine verilen görevleri eksiksiz yerine getirir, fuar öncesi hazırlıklara direkt iştirak eder. 
15. İhracat müşterileriyle sözlü ve yazılı iletişim içinde olur, müşterileri cevapsız bırakmadan gereken yardımları gösterir, kendisinin bilgisini ve sorumluluk seviyesini aşan hallerde, konuyu/konuları İhracat Bölge Md.lerine iletir ve o aşamadan sonraki iletişim ve koordinasyonun onlar tarafından yürütülmesini ve çözüme kavuşturulmasını gözetir ve önerir, devamında tekrar kendisine yöneltilen hususları aynı titizlikle yürütür. 
16. Gerek CRM gerekse diğer ERP programlarını ve MS Ofis Programlarını etkin şekilde kullanır, kayıtların güncel tutulmasını, bu programlardan istifadeyle gerekli raporların alınmasını sağlar. 
17. Müşterilerle olan münasebetlerde, şirketimizi en iyi şekilde temsil eder, dış ticaretin icap ettirdiği usulleri benimser.  
","İhracat Müşteri Hizmetleri Temsilcisi","En az 2 yıl tecrübeli"," Lisans ","Tam Zamanlı","1234"
"346","Aya Validasyon Ambalaj Sterilizasyon A.Ş.","Sağlık","Ankara","_x000D_
AYA Validasyon Ambalaj Sterilizasyon A.Ş. _x000D_
_x000D_
AYA A.Ş., İlaç ve Tıbbi Cihaz Üreticilerine, Hastanelere Validasyon, Kalifikasyon, Laboratuvar Analizleri, Paketleme ve Sterilizasyon Hizmetleri veren, ISO 13485 Belgesi ve TS EN ISO 17020 Akreditasyonuna sahip A Tipi Muayene Kuruluşudur._x000D_
_x000D_
_x000D_
Takımımızda yer alacak, _x000D_
_x000D_
Pazarlama ve Satış Sorumlusu/Genel Nitelikler _x000D_
_x000D_
•  Lisanslerin tercihen Fen Bilimleri ve Mühendislik bölümlerinden mezun, _x000D_
_x000D_
• Hizmet Pazarlama ve Satışında (tercihen İlaç ve/veya Tıbbi Cihaz alanında) min. 4 yıl deneyim sahibi,_x000D_
_x000D_
_x000D_
• Tercihen İngilizce bilen, _x000D_
_x000D_
• MS Office Programlarına hakim, _x000D_
_x000D_
• Erkek adaylar için askerlik görevini tamamlamış, _x000D_
_x000D_
• Yoğun iş seyahatlerine engeli olmayıp Türkiye’nin her yerine seyahat edebilen,_x000D_
_x000D_
_x000D_
• Aktif bir şekilde şehirlerarası yolculuk yapabilecek kadar sürüş deneyimi olan_x000D_
_x000D_
_x000D_
• Öğrenmeye, kendisini geliştirmeye ve bilgi paylaşımına açık bir yapıya sahip,_x000D_
_x000D_
_x000D_
• Analitik düşünebilen, çözüm üreten ve sonuç odaklı, _x000D_
_x000D_
• Yoğun iş temposuna ayak uydurabilecek, _x000D_
_x000D_
• Detaylara önem veren, dikkatli, sistemli ve prensip sahibi, _x000D_
_x000D_
• Esnek çalışma saatlerine uyum sağlayabilecek, _x000D_
_x000D_
• Takım çalışmasına yatkın, _x000D_
_x000D_
• İnsan ilişkileri kuvvetli ve ikna kabiliyeti olan, _x000D_
_x000D_
• İletişim gücü ve sunum becerisi yüksek, _x000D_
_x000D_
• Etkin raporlama yapabilen, _x000D_
_x000D_
• Mesleki etik ve disipline sahip _x000D_
_x000D_
Takım Arkadaşları arıyoruz. _x000D_
_x000D_
İş Tanımı _x000D_
_x000D_
AYA A.Ş.’nin verdiği hizmetler konusunda teknik anlamda yeterli seviyeye ulaştıktan sonra Tıbbi Cihaz ve İlaç üreticilerine ziyaretler yaparak hizmetlerimiz konusunda bilgilendirilmelerini sağlayacak Pazarlama ve Satış aktivitelerini yürütmek,_x000D_
_x000D_
_x000D_
İlerde Bölgesel çalışacak elemanların iş takiplerini yapabilecek yeterlikte Yönetici vasfına sahip olmak,_x000D_
_x000D_
_x000D_
Çalışmalarına ilişkin ayrıntılı ve düzenli raporlama yapmak. _x000D_
","Satış Pazarlama Sorumlusu","Tecrübeli ve Tecrübesiz"," Lisans ","Tam Zamanlı","1234"
"347","MEBANT İZOLASYON VE BANT SANAYİ A.Ş","Üretim ve Endüstriyel Ürünler","Eskişehir","_x000D_
Genel Nitelikler: _x000D_
_x000D_
_x000D_
2  yıl MYO ya da 4  yıl üniversitelerin ilgili bölümlerinden mezun, Active Directory ortamında 1-3 yıl Desktop Destek/Help Desk-Sistem Destek tecrübesi olan, MS Office programlarını etkin kullanabilen, Excel bilgisi çok iyi olan tercih nedenidir. MS Kullanıcı İşletim Sistemleri ve MS Server Ailesi hakkında bilgi sahibi, İngilizce bilen, Okuma ve yazma seviyesi tercihen iyi olan, Genel Sistem/Network teknolojileri konusunda en az orta düzeyde bilgi sahibi, Detaylara hakim, analiz yeteneği olan, problem çözme yeteneği gelişmiş, Dokümantasyon alışkanlığına sahip, Seyahat engeli olmayan, _x000D_
 İş Tanımı: _x000D_
_x000D_
_x000D_
_x000D_
Desktop sorunları ve talepler ile ilgili çağrıları karşılamak, Problemlere birinci seviyede destek sunarak çözüm sağlamak, problemi çözemediği durumlarda ilgili birimi bilgilendirmek, Helpdesk hizmetleri ve kurulum hizmetlerini düzenli olarak yürütmek, Bildirilen problem ve taleplerin çözümlerini takip ederek sonuçlandırmak, Oluşan yazılım veya donanım kaynaklı kullanıcı sorunlarının çözümlenmesini yönetmek, Şirketin kullandığı sistemlerin kurulmasına ve işletilmesine destek olmak, Açılan destek talep kayıtların hedeflenen zamanda kapatılmasını sağlamak. _x000D_
_x000D_
","Bilgi İşlem Sorumlusu","1 - 3 yıl arası","Önlisans ","Tam Zamanlı","1234"
"348","Fuzul Gayrimenkul. Yat. A.ş","İnşaat","Mardin","Fuzul EV bünyesinde MARDİN'de yeni açılacak şubemizde istihdam edilmek üzere,_x000D_
_x000D_
Satış  ve  Pazarlama alanında kariyer hedefleyen, Takım çalışmasına yatkın, İnsan ilişkileri güçlü, güler yüzlü, iletişim becerileri kuvvetli, Diksiyonu düzgün, dış görünüşüne özen gösteren, İş takibi ve sonuçlandırılması konusunda başarılı, İnisiyatif ve sorumluluk alabilecek, Sonuç odaklı, yeniliklere, öğrenmeye ve değişime açık, MS Office programlarını kullanabilen, Motivasyonu ve özgüveni yüksek Hafta sonu çalışma düzenine uyum sağlayabilecek, İletişim ve ikna becerisi güçlü, Analitik düşünen, organizasyon ve planlama yeteneğine sahip, Erkek adaylar için askerliğini yapmış veya en az 2 yıl tecilli. _x000D_
_x000D_
_x000D_
İŞ TANIMI_x000D_
_x000D_
Firma web sayfası, çağrı merkezi ya da başka kanallar aracılığıyla bilgi talebinde bulunan müşterilere kampanya tanıtımı yaparak, kendisine verilen kişisel hedefleri gerçekleştirmek,Müşterilerin ihtiyaç ve beklentilerini anlayarak doğru bilgilendirme yapmak,en uygun çözümü sunmak, müşteri memnuniyetinin sağlanması konusunda çaba sarf etmek,Mevcut satış stratejisine uygun olarak belirlenen satış çalışmaları kapsamında CRM’de kayıtlı bulunan müşterilerle belirli bir plan dahilinde iletişime geçmek,Müşteri portföyünün geliştirilmesi ve yeni müşteriler kazandırılması için yöntemler geliştirmek, sektör bilgileri doğrultusunda potansiyel müşterileri belirlemek,Müşteriden gelen talepleri değerlendirmek, teklifleri hazırlamak, onaylanan teklifleri satışa dönüştürmek ve bu faaliyetlerin tamamını CRM üzerinde kayıt altına alınmasını sağlamak,Üye müşterilerin CRM üzerinden takibini yapmak, müşteri taleplerini ilgili destek birimlerine iletmek,Satış yapılanması içinde görev alarak günlük/aylık satış hedeflerine ulaşıp, müşteri beklentilerini en iyi şekilde karşılamak,Günlük, haftalık, aylık hedeflerinin gerçekleşmesi için planlamalar yapmak, bu konuda Satış Yöneticisine detaylı raporlar hazırlamak._x000D_
","Müşteri Temsilcisi ","1 - 3 yıl arası","Lise ","Tam Zamanlı","1234"
"349","Yaz Bilgi Sistemleri ve Tic.A.Ş.","Bilişim","İstanbul ","_x000D_
Üniversitelerin 4  yıl, Mühendislik Fakültelerinin; Bilgisayar, Yazılım, Bilişim Sistemleri, Matematik Mühendisliği veya ilgili bölümlerinden mezun olmak,_x000D_
8-10 yıl arasında deneyimli olmak, _x000D_
JSF, Ajax, Hibernate teknolojilerinde deneyimli olmak, _x000D_
Spring Framework, Oracle veri tabanı konusunda deneyimli olmak, _x000D_
Tercihen PL/SQL bilgisine sahip olmak, _x000D_
Jira, Trello gibi proje ve süreç yönetimi araçları hakkında bilgi sahibi, _x000D_
HTML, CSS, Java Script konularında bilgi sahibi, _x000D_
Unix ve Linux i?letim sistemleri hakkında bilgi sahibi ve bu ortamlarda yazılım geliştirmiş, _x000D_
Kaynak kontrol yazılımı ve kod versiyonlama araçları (GIT) hakkında bilgi ve deneyim sahibi,_x000D_
XML Web servisleri (SOAP) ile entegrasyon konusunda tecrübeli, _x000D_
_x000D_
Spring ve Restful servis teknolojileri hakkında bilgi ve tecrübe sahibi,_x000D_
Erkek adaylar için askerlik hizmetini tamamlamış, _x000D_
Tercihen İstanbul Avrupa yakasında ikamet eden, _x000D_
İnsan ilişkilerinde başarılı ve takım çalışmasına uygun,_x000D_
_x000D_
","Java Yazılım Uzmanı","En az 8 yıl tecrübeli"," Lisans ","Tam Zamanlı","1234"
"350","ÇUHADAROĞLU METAL SAN. VE PAZ. A.Ş.","Metal Sanayi","İstanbul ","_x000D_
Genel nitelikler:_x000D_
Üniversitelerin Mimarlık, Mühendislik veya ilgili bölümlerinden mezun,_x000D_
İyi seviyede İngilizce yazılı sözlü iletişim kurabilecek (ikinci dil tercih sebebidir),_x000D_
Satış süreçlerinde tecrübeli, ikna ve temsil kabiliyeti olan._x000D_
İletişim kurma yeteneğine güvenen,_x000D_
En az 2 yıl benzer görevde bulunmuş (Ofis bölme sistemleri, alüminyum cephe veya doğrama sistemleri satışında tecrübesi olan adaylar tercih sebebidir)_x000D_
Yoğun çalışma temposuna ayak uydurabilecek,_x000D_
Yurt içi ve Yurt dışı seyahat engeli bulunmayan,_x000D_
B sınıfı sürücü belgesine sahip, aktif olarak araç kullanabilen,_x000D_
Erkek adaylar için askerlik görevini tamamlamış,_x000D_
İş tanımı:_x000D_
Çuhadaroğlu Metal San.ve Paz.A.Ş. bünyesinde faaliyet gösteren ve konusu Ofis Bölme Sistemleri, Otomatik Kapılar ve Güvenlik Sistemleri ürün grupları alanında faaliyet gösteren bölüme katkı sağlayacak aşağıdaki koşullara uygun çalışma arkadaşları aranmaktadır._x000D_
Aktif olarak Mimari büro, inşaat şirketleri ve şantiye ziyaretlerinin yapılması,_x000D_
Yurtdışı Pazar araştırmalarının yapılması ve proje takibi,_x000D_
Projelere yönelik tekliflerin hazırlanması,_x000D_
Potansiyel müşterilerin ziyaretlerinin belirlenmesi ve ziyaret edilmesi,_x000D_
Yurtiçi ve yurtdışı firma ziyaretleri ile fuar katılım süreçlerinin yürütülmesi,_x000D_
Müşteri bilgilerinin güncellenmesi, sorumluluklar kapsamındaki tüm raporlama ve geribildirimlerin zamanında ve titizlikle yapılması gerekliliklerini kapsamaktadır._x000D_
","Satış Sorumlusu","2 - 5 yıl arası"," Lisans ","Tam Zamanlı","1234"
"351","Sekuro Plastik Ambalaj A.Ş.","Kimya","Bilecik  ","_x000D_
· En az 3 yıl bakım tecrübesi, _x000D_
· Tercihen extrüzyon proses bilgisi olan _x000D_
· Arıza ve planlı bakımları organize edip, gerekli malzeme ve personel sevk ve idaresini sağlayacak, _x000D_
· Yönetim ve liderlik vasfına sahip,_x000D_
 · Problem Çözümü konusunda kendini geliştirmiş,_x000D_
 · Yalın Üretim Teknikleri konusunda tecrübeli ve aktif olarak rol almış ( TPM, 5S, Kaizen vb.)_x000D_
 · Bina yardımcı tesis ( jeneratör, çiller, kompresör vs.) konularında tecrübeli, _x000D_
· Saha çalışmasında aktif ve operasyon içinde bulunmayı tercih eden,_x000D_
 · İngilizce veya Almanca bilen _x000D_
· Yurt içi ve yurt dışı makine üreticileri ile temas kurup çözüm üretebilen_x000D_
 · Tercihen Yüksek Gerilim İşletme Belgesi olan _x000D_
· Elektrik-Elektronik Mühendisliği bölümünden mezun _x000D_
· Tercihen Bilecik Bozüyük'te veya Eskişehir ‘de ikamet eden. _x000D_
","Bakım Mühendisi","En az 2 yıl tecrübeli","Önlisans ","Tam Zamanlı","1234"
"352","Özerden Plastik","Üretim ve Endüstriyel Ürünler","İstanbul ","_x000D_
Üniversitelerin iktisat, işletme, istatistik vb. bölümlerinden mezun, _x000D_
Benzer pozisyonda en az 4 yıl deneyimli,_x000D_
Ofis programlarını aktif olarak kullanabilen,_x000D_
Crm ve Erp program kullanımına hakim, takip ve güncellemeleri yapabilecek,_x000D_
Analitik ve raporlama becerileri gelişmiş,_x000D_
Sebep-sonuç ilişkisi kurabilen,_x000D_
Ekip çalışmasına uyumlu,_x000D_
Sistemli ve planlı çalışan,_x000D_
Erkek adaylar için askerlik hizmetini tamamlamış,_x000D_
Sarıyer bölgesine ulaşımı kolay. _x000D_
_x000D_
_x000D_
","Satış Analiz ve Raporlama Uzmanı","En az 4 yıl tecrübeli"," Lisans ","Tam Zamanlı","1234"
